sampleID	run	forwardReads	reverseReads
s0056	2020_12_01	data/raw/fetch-reads/fastq/ERX5782886_ERR6146062_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782886_ERR6146062_2.fastq.gz
s0057	2020_12_01	data/raw/fetch-reads/fastq/ERX5782887_ERR6146063_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782887_ERR6146063_2.fastq.gz
s0058	2020_12_01	data/raw/fetch-reads/fastq/ERX5782888_ERR6146064_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782888_ERR6146064_2.fastq.gz
s0059	2020_12_01	data/raw/fetch-reads/fastq/ERX5782889_ERR6146065_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782889_ERR6146065_2.fastq.gz
s0060	2020_12_01	data/raw/fetch-reads/fastq/ERX5782890_ERR6146066_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782890_ERR6146066_2.fastq.gz
s0061	2020_12_01	data/raw/fetch-reads/fastq/ERX5782891_ERR6146067_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782891_ERR6146067_2.fastq.gz
s0064	2020_12_01	data/raw/fetch-reads/fastq/ERX5782892_ERR6146068_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782892_ERR6146068_2.fastq.gz
s0065	2021_01_06	data/raw/fetch-reads/fastq/ERX5782893_ERR6146069_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782893_ERR6146069_2.fastq.gz
s0066	2020_12_01	data/raw/fetch-reads/fastq/ERX5782894_ERR6146070_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782894_ERR6146070_2.fastq.gz
s0067	2020_12_01	data/raw/fetch-reads/fastq/ERX5782895_ERR6146071_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782895_ERR6146071_2.fastq.gz
s0068	2022_02_17	data/raw/fetch-reads/fastq/ERX11774109_ERR12398046_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774109_ERR12398046_2.fastq.gz
s0069	2020_12_01	data/raw/fetch-reads/fastq/ERX5782897_ERR6146073_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782897_ERR6146073_2.fastq.gz
s0070	2020_12_01	data/raw/fetch-reads/fastq/ERX5782898_ERR6146074_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782898_ERR6146074_2.fastq.gz
s0072	2020_11_27	data/raw/fetch-reads/fastq/ERX5782899_ERR6146075_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782899_ERR6146075_2.fastq.gz
s0074	2020_11_27	data/raw/fetch-reads/fastq/ERX5782900_ERR6146076_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782900_ERR6146076_2.fastq.gz
s0075	2021_01_20	data/raw/fetch-reads/fastq/ERX5782901_ERR6146077_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782901_ERR6146077_2.fastq.gz
s0076	2020_11_27	data/raw/fetch-reads/fastq/ERX5782902_ERR6146078_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782902_ERR6146078_2.fastq.gz
s0077	2020_11_27	data/raw/fetch-reads/fastq/ERX5782903_ERR6146079_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782903_ERR6146079_2.fastq.gz
s0078	2021_01_06	data/raw/fetch-reads/fastq/ERX5782904_ERR6146080_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782904_ERR6146080_2.fastq.gz
s0079	2020_11_27	data/raw/fetch-reads/fastq/ERX5782905_ERR6146081_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782905_ERR6146081_2.fastq.gz
s0080	2020_11_27	data/raw/fetch-reads/fastq/ERX5782906_ERR6146082_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782906_ERR6146082_2.fastq.gz
s0081	2021_01_06	data/raw/fetch-reads/fastq/ERX5782907_ERR6146083_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782907_ERR6146083_2.fastq.gz
s0082	2020_11_27	data/raw/fetch-reads/fastq/ERX5782908_ERR6146084_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782908_ERR6146084_2.fastq.gz
s0083	2020_11_27	data/raw/fetch-reads/fastq/ERX5782909_ERR6146085_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782909_ERR6146085_2.fastq.gz
s0084	2020_11_27	data/raw/fetch-reads/fastq/ERX5782910_ERR6146086_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782910_ERR6146086_2.fastq.gz
s0085	2020_11_27	data/raw/fetch-reads/fastq/ERX5782911_ERR6146087_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782911_ERR6146087_2.fastq.gz
s0086	2020_11_27	data/raw/fetch-reads/fastq/ERX5782912_ERR6146088_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782912_ERR6146088_2.fastq.gz
s0087	2020_11_27	data/raw/fetch-reads/fastq/ERX5782913_ERR6146089_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782913_ERR6146089_2.fastq.gz
s0088	2020_11_27	data/raw/fetch-reads/fastq/ERX5782914_ERR6146090_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782914_ERR6146090_2.fastq.gz
s0089	2020_11_27	data/raw/fetch-reads/fastq/ERX5782915_ERR6146091_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782915_ERR6146091_2.fastq.gz
s0090	2021_01_06	data/raw/fetch-reads/fastq/ERX5782916_ERR6146092_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782916_ERR6146092_2.fastq.gz
s0092	2020_11_27	data/raw/fetch-reads/fastq/ERX5782917_ERR6146093_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782917_ERR6146093_2.fastq.gz
s0094	2021_01_06	data/raw/fetch-reads/fastq/ERX5782918_ERR6146094_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782918_ERR6146094_2.fastq.gz
s0096	2022_02_17	data/raw/fetch-reads/fastq/ERX11774110_ERR12398047_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774110_ERR12398047_2.fastq.gz
s0097	2021_01_06	data/raw/fetch-reads/fastq/ERX5782920_ERR6146096_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782920_ERR6146096_2.fastq.gz
s0099	2021_01_20	data/raw/fetch-reads/fastq/ERX5782921_ERR6146097_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782921_ERR6146097_2.fastq.gz
s0100	2021_01_06	data/raw/fetch-reads/fastq/ERX5782922_ERR6146098_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782922_ERR6146098_2.fastq.gz
s0102	2021_01_06	data/raw/fetch-reads/fastq/ERX5782923_ERR6146099_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782923_ERR6146099_2.fastq.gz
s0103	2021_01_06	data/raw/fetch-reads/fastq/ERX5782924_ERR6146100_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782924_ERR6146100_2.fastq.gz
s0104	2021_01_06	data/raw/fetch-reads/fastq/ERX5782925_ERR6146101_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782925_ERR6146101_2.fastq.gz
s0105	2021_01_06	data/raw/fetch-reads/fastq/ERX5782926_ERR6146102_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782926_ERR6146102_2.fastq.gz
s0107	2021_01_06	data/raw/fetch-reads/fastq/ERX5782927_ERR6146103_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782927_ERR6146103_2.fastq.gz
